ending	size	none	gzip	bzip2	lzma	snappy	deflate	lz4	lz4hc	pfor
ini	678	17626177	569082	9825176	39035744	3609920	107961	38408473	2960691	133006401
JPG	102400	3294	5021098	424768067	50990495	4170586	5300699	8317749	23961104	52669196
JPG	102400	3294	5096122	28994280	27998477	210067	17230198	450875	3711294	3829868
JPG	102400	3294	5140038	25210524	43399196	4325756	7245826	520774	3503058	2955567
JPG	102400	3294	5070138	31173992	41649131	875398	7168605	448312	12466010	3339104
JPG	102400	4026	5999699	26504225	26697823	247395	6178659	747310	3380092	3437915
JPG	102400	3293	5887713	35926469	36633156	227999	7074185	989215	3870490	3593086
JPG	102400	2928	5886250	28813857	37611758	230195	5378650	455632	3242122	2952640
JPG	102400	3659	11714676	25994430	40199892	207139	6565854	549686	3915139	2866637
JPG	102400	3294	11868383	25485000	62163903	203479	5714610	512357	3575154	2700853
JPG	102400	3293	5439035	29055397	34692421	254349	5380846	462219	3485857	3099760
JPG	102400	3294	5267395	28341024	42067800	220680	5364012	647034	3581741	2607165
JPG	102400	3293	5274349	24465410	364526234	287652	5305090	461122	61925291	2566543
JPG	102400	8417	5113323	30342510	33367613	1093150	5319729	472100	3372407	41896525
JPG	102400	4026	7630825	25619311	27624823	225803	5510399	1016663	24342078	2544950
JPG	102400	2928	6248925	24952150	33190483	297899	5729248	879424	3559417	54648358
JPG	102400	3294	5209938	26863607	28012018	301925	5387433	594334	4893375	2392707
JPG	102400	3660	11365907	39223121	46361716	209335	5116250	451972	3679455	2820159
JPG	102400	2928	5331440	24899816	36138366	210432	7367693	421230	3873785	2259128
JPG	24013	3660	1150973	7574832	5646540	55262	1030204	141265	790128	1392147
JPG	102400	2196	5370232	30719093	31438223	1120964	5987989	580793	24409417	2669014
JPG	102400	3293	7529452	27034148	25259197	207139	5299235	458926	3559051	2987773
JPG	102400	2196	5220185	24758918	37932713	254349	6984889	543465	4560343	7507128
JPG	102400	10979	5235190	26028831	26379429	226535	5821472	513089	3213210	9656464
JPG	102400	2562	5165290	24779046	33054709	204211	11231231	539805	3482930	2949712
JPG	102400	1830	5132718	29116513	28921086	198355	5663374	444653	3361427	3001680
JPG	102400	2561	5140404	33391766	29022825	203113	5329244	507234	3444502	2735254
JPG	102400	2562	5078921	59988581	45150358	200551	5381944	460755	3245415	3078534
JPG	102400	2196	18598191	24937510	36930323	298265	5403902	521872	21134358	3030592
JPG	102400	2196	5165290	31801630	29972882	195428	6065209	477956	3593452	2765263
JPG	102400	2928	6506201	25708974	27437446	219948	5747181	461487	3448162	2492250
JPG	102400	2196	5230799	36110918	46039663	188841	10124539	730109	3515135	4013219
JPG	102400	2196	5582860	25758014	59062314	191402	5387433	481615	3352644	2433696
JPG	102400	2196	5228969	24896523	31331725	189938	5253854	522239	9482264	2912383
JPG	102400	1830	5518084	30395942	37590532	352428	7409779	875764	3760700	2415763
JPG	102400	2928	5206645	35306883	29493828	190304	5383774	442823	3428034	2512013
JPG	102400	2196	11781282	25462311	38396030	174201	5630436	502110	3487321	2749161
JPG	102400	2196	5371697	30804730	28514128	197623	5626046	446116	3653471	2502498
JPG	102400	2196	7486633	38435555	29999231	192500	5025856	488935	4186688	2512013
JPG	102400	2196	5066478	24844188	35415576	172738	5331074	610436	3516965	2232047
JPG	35229	2562	1536705	9321237	15117824	83441	1629295	172005	1125721	1303217
JPG	102400	2195	12236181	32963216	28151087	1171467	5420737	584818	5400974	2232412
JPG	102400	2562	6758354	25683356	27713387	230195	5260442	488203	8843647	2438087
JPG	102400	2562	5330342	31388816	27623725	179691	5494296	479054	3273961	2145678
JPG	102400	2195	5317167	26393337	35043385	186279	10885755	450142	10528569	2482004
JPG	102400	2196	5297770	24933485	37670313	184815	5204449	468441	4309288	2247417
JPG	102400	2927	5435375	25497077	31102995	173470	6801904	1227461	3685677	2806253
JPG	102400	2196	5407928	33546937	41463219	187742	6684794	458559	3873419	2197645
JPG	102400	1829	5215062	38239029	39961646	188840	6431909	455632	3520990	2605335
JPG	102400	2562	5257514	29019897	49362665	236050	5824767	549686	3490249	2363064
JPG	102400	4025	5031712	24704022	28202688	178227	5898327	655817	3196741	13799603
JPG	102400	2562	5120642	46124202	46160800	174567	6139134	441359	3296285	2559223
JPG	102400	2196	5451478	25569540	27354005	184814	5427690	448312	3562345	2215212
JPG	102400	2195	5697776	27450987	28567925	181155	5204815	476492	10220789	2248515
JPG	102400	2195	5463555	38895578	49994327	181886	5470508	528459	3507449	2367455
JPG	102400	2195	5262271	36900314	40161831	181887	5392923	458559	3350449	2033691
JPG	102400	2196	5094292	26501298	28913401	183351	5015975	615926	3407540	2125183
JPG	102400	3294	5289720	26770285	51600566	217020	5156141	420498	10475870	2256200
JPG	102400	2196	8186366	34987392	28453011	174933	5761088	433308	3559051	2148971
JPG	102400	2561	14003813	33828368	40887548	240076	5092462	781710	8441447	2026372
JPG	102400	2562	5102343	26035418	30103899	382072	5285694	464415	3956128	2047232
JPG	102400	2196	5312410	26075309	36481279	207505	14304274	440993	3283476	2124451
JPG	39161	2195	2319513	10151255	9367349	101740	1856196	203845	4173880	1240636
JPG	102400	2196	4934363	34259114	42336055	1474490	9330386	534316	3436451	3427668
